Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
CAMB3,"9,70","6,00","1,34","1,070","11,36%","1,099","2,99","6,49","3,46","5,45","4,48","16,50%","17,85%","3,81","21,80%","22,38%","269.587,00","305.569.000,00","0,01","9,73%"
RSUL4,"64,08","6,04","1,42","0,925","3,92%","0,858","2,37","4,08","4,92","3,45","3,21","22,71%","15,33%","2,74","27,59%","23,52%","151.436,00","274.006.000,00","0,12","5,06%"
TIET11,"17,44","6,09","3,13","3,010","0,00%","0,638","1.434,52","5,02","-1,05","8,78","6,62","59,93%","49,91%","1,00","13,97%","51,45%","0,00","2.222.740.000,00","2,67","7,76%"
TIET3,"3,49","6,09","3,13","3,012","0,00%","0,638","1.435,34","5,03","-1,05","8,78","6,63","59,93%","49,91%","1,00","13,97%","51,45%","0,00","2.222.740.000,00","2,67","7,76%"
CEEB5,"43,50","6,09","1,41","0,596","13,32%","0,302","4,77","2,57","-0,54","6,77","5,45","23,19%","9,79%","1,39","13,38%","23,08%","1.107,98","8.110.000.000,00","2,67","6,86%"
TIET4,"3,51","6,13","3,15","3,029","0,00%","0,642","1.443,57","5,06","-1,05","8,81","6,65","59,93%","49,91%","1,00","13,97%","51,45%","0,00","2.222.740.000,00","2,67","7,76%"
GRND3,"4,38","6,13","1,25","1,529","35,16%","0,878","2,86","14,86","2,91","11,15","8,51","10,29%","24,95%","2,05","7,85%","20,44%","24.613.300,00","3.153.960.000,00","0,02","2,45%"
EUCA3,"21,20","6,15","0,71","0,633","4,82%","0,394","1,74","3,63","-8,24","4,70","3,01","17,43%","10,28%","2,32","12,99%","11,53%","13.272,00","2.767.610.000,00","0,40","6,22%"
LAVV3,"13,05","6,16","1,70","1,448","20,53%","0,568","0,92","6,59","2,97","7,63","7,42","21,98%","26,35%","4,46","11,11%","27,65%","13.227.800,00","1.497.310.000,00","0,88","37,02%"
VLID3,"19,73","6,18","0,95","0,783","7,63%","0,513","1,72","4,99","9,30","5,05","3,70","15,69%","13,03%","2,42","14,64%","15,31%","6.270.320,00","1.706.870.000,00","0,46","0,17%"
BMGB4,"5,35","6,19","0,89","0,000","7,52%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,41%","7.246.100,00","3.892.010.000,00","0,00","3,30%"
REDE4,"2,90","6,19","1,20","0,384","0,00%","0,226","2,45","1,85","-0,42","5,88","4,71","20,77%","8,65%","1,56","14,12%","19,44%","0,00","6.189.210.000,00","3,08","6,20%"
MELK3,"3,37","6,20","0,65","0,622","15,57%","0,254","0,64","5,75","2,76","9,26","8,94","10,81%","13,43%","2,60","4,78%","10,53%","2.562.720,00","1.064.290.000,00","0,57","7,67%"
EUCA4,"21,48","6,23","0,72","0,641","5,24%","0,399","1,77","3,68","-8,35","4,74","3,04","17,43%","10,28%","2,32","12,99%","11,53%","626.224,00","2.767.610.000,00","0,40","6,22%"
RANI4,"5,50","6,25","0,86","0,758","0,00%","0,330","1,82","3,10","-1,16","5,75","3,80","24,41%","12,12%","2,19","13,76%","13,78%","0,00","1.471.350.000,00","1,25","0,07%"
BRAV3,"19,13","6,30","0,75","0,765","0,65%","0,208","3,64","3,55","-0,39","7,89","4,00","21,52%","12,14%","1,42","7,02%","11,99%","255.083.000,00","11.774.200.000,00","1,40","104,71%"
DEXP3,"7,37","6,31","0,90","0,424","6,74%","0,562","1,20","6,91","2,10","6,13","4,86","6,13%","6,72%","3,65","11,66%","14,34%","1.008.360,00","1.001.960.000,00","0,29","2,27%"
DEXP4,"7,40","6,33","0,91","0,426","6,88%","0,564","1,20","6,94","2,10","6,16","4,88","6,13%","6,72%","3,65","11,66%","14,34%","33.862,80","1.001.960.000,00","0,29","2,27%"
LPSB3,"1,91","6,38","1,19","1,387","7,63%","0,710","7,38","6,58","-5,34","4,91","3,37","21,07%","25,64%","1,50","13,46%","18,70%","346.249,00","236.388.000,00","0,00","-1,95%"
PETR3,"54,73","6,41","1,70","1,418","5,80%","0,577","-12,09","3,58","-1,06","5,27","3,69","39,64%","22,23%","0,71","17,43%","26,49%","853.362.000,00","415.786.000.000,00","0,92","-0,78%"
SHUL4,"5,21","6,44","1,24","0,960","12,22%","0,602","1,52","15,16","4,62","14,07","8,19","6,33%","14,90%","2,60","6,79%","19,28%","2.533.860,00","1.499.350.000,00","0,67","1,85%"
COCE3,"38,00","6,49","0,58","0,342","0,63%","0,197","-1,38","1,91","-0,41","5,81","4,32","17,89%","5,26%","0,56","11,53%","9,01%","0,00","5.606.640.000,00","1,23","1,83%"
ABCB4,"25,06","6,52","0,97","0,000","9,81%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,82%","17.031.300,00","6.758.950.000,00","0,00","12,09%"
POMO3,"6,44","6,58","2,10","0,889","14,66%","0,828","2,87","5,65","66,01","6,68","6,02","15,72%","13,64%","1,89","20,62%","31,92%","5.430.000,00","3.832.370.000,00","0,96","26,67%"
LOGG3,"26,63","6,60","0,65","9,405","14,89%","0,350","83,06","13,03","-1,06","25,40","24,50","72,16%","146,12%","1,03","2,71%","9,83%","10.195.700,00","3.606.440.000,00","0,62","10,87%"
CSED3,"5,38","6,61","1,23","0,692","9,02%","0,415","5,29","3,39","-0,95","4,35","2,98","20,40%","10,47%","1,53","15,21%","18,66%","3.557.210,00","1.590.650.000,00","0,86","11,88%"
POMO4,"6,48","6,62","2,11","0,894","14,57%","0,833","2,89","5,69","66,42","6,72","6,05","15,72%","13,64%","1,89","20,62%","31,92%","74.445.800,00","3.832.370.000,00","0,96","26,67%"
CIQU3,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","5,23","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%"
CIQU4,"12,49","6,63","1,05","0,413","0,00%","0,515","3,33","4,25","7,55","7,50","5,23","9,72%","6,22%","1,36","12,70%","15,87%","0,00","296.175.000,00","0,84","16,23%"
TELB4,"9,14","6,63","0,53","1,898","0,00%","0,211","0,48","-3,08","-2,66","1,88","19,80","-61,68%","28,62%","6,29","-11,05%","8,02%","17.100,50","1.752.090.000,00","0,01","13,41%"
RPAD6,"6,50","6,70","0,54","0,000","0,16%","0,533","4,39","-300,78","4,64","-228,97","-228,97","0,00%","0,00%","13,90","-0,20%","8,09%","764,79","1.016.570.000,00","0,00","0,00%"
SAPR3,"9,33","6,78","1,14","1,957","3,89%","0,533","11,77","7,18","-2,04","8,09","6,13","27,26%","28,86%","1,20","9,65%","16,84%","2.189.700,00","12.347.800.000,00","0,60","8,75%"
CEEB3,"48,55","6,80","1,57","0,665","11,94%","0,337","5,32","2,87","-0,60","7,07","5,69","23,19%","9,79%","1,39","13,38%","23,08%","19.100,50","8.110.000.000,00","2,67","6,86%"
TEND3,"28,10","6,81","2,87","0,825","4,39%","0,520","1,60","5,55","-2,62","5,98","5,39","14,87%","11,61%","2,10","11,85%","42,15%","77.112.700,00","1.199.590.000,00","1,09","13,90%"
SANB3,"14,24","6,90","1,10","0,000","7,72%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","15,93%","1.465.440,00","97.206.400.000,00","0,00","3,30%"
ECOR3,"8,79","6,91","1,49","0,531","3,51%","0,165","3,08","1,50","-0,23","6,80","5,10","35,34%","7,52%","1,52","12,83%","21,59%","76.510.400,00","4.102.820.000,00","6,43","25,88%"
EQMA3B,"31,98","6,99","1,19","0,753","2,59%","0,473","7,48","3,48","-1,26","5,81","4,62","21,65%","10,77%","1,39","15,38%","16,99%","11.061,90","4.422.970.000,00","0,93","7,95%"
SMTO3,"16,17","7,00","0,74","0,776","2,82%","0,232","1,06","5,01","-0,67","12,55","3,96","15,51%","11,09%","2,87","5,61%","10,53%","57.613.300,00","7.298.620.000,00","1,56","7,48%"
BBAS3,"22,21","7,01","0,69","0,000","3,75%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","9,83%","577.634.000,00","184.588.000.000,00","0,00","-3,37%"
SANB11,"29,04","7,03","1,12","0,000","7,95%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","15,93%","98.962.900,00","97.206.400.000,00","0,00","3,30%"
CLSC3,"133,01","7,03","1,29","0,431","5,55%","0,371","5,73","4,47","-0,85","8,46","6,34","9,65%","6,13%","1,30","9,26%","18,38%","20.999,10","3.968.460.000,00","1,26","1,53%"
WIZC3,"8,87","7,05","2,03","1,026","7,09%","0,583","23,23","2,04","-2,76","2,01","1,74","50,36%","26,59%","1,11","36,56%","28,82%","5.116.250,00","697.792.000,00","0,56","14,28%"
TECN3,"8,30","7,07","1,15","1,057","5,05%","0,729","1,51","5,34","2,47","5,44","6,21","19,77%","14,94%","3,69","15,75%","16,33%","370.853,00","437.800.000,00","0,11","10,19%"
CSUD3,"17,95","7,07","1,61","1,203","13,11%","0,999","9,71","6,87","-16,36","7,30","4,66","17,53%","17,01%","1,48","17,64%","22,80%","1.270.520,00","465.112.000,00","0,27","4,51%"
CGRA4,"25,30","7,10","0,68","0,800","23,87%","0,471","1,98","6,39","3,84","4,81","3,54","12,52%","11,26%","2,26","9,12%","9,55%","230.585,00","878.113.000,00","0,00","4,63%"
LUXM4,"3,92","7,14","0,96","1,031","3,49%","0,674","6,82","5,93","-9,53","5,58","3,32","17,38%","14,44%","1,79","13,14%","13,38%","10.053,60","170.545.000,00","0,11","3,69%"
SANB4,"14,77","7,15","1,14","0,000","8,19%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","15,93%","1.694.000,00","97.206.400.000,00","0,00","3,30%"
ELPL6,"30,20","7,17","0,79","0,260","0,00%","0,188","-2,84","2,21","-0,35","6,53","4,63","11,76%","3,62%","0,78","9,68%","10,99%","0,00","7.563.130.000,00","1,58","2,76%"
CGRA3,"25,65","7,20","0,69","0,811","23,55%","0,478","2,00","6,47","3,89","4,90","3,61","12,52%","11,26%","2,26","9,12%","9,55%","32.702,40","878.113.000,00","0,00","4,63%"
RPAD3,"7,00","7,21","0,58","0,000","0,13%","0,574","4,72","-323,92","4,99","-252,11","-252,11","0,00%","0,00%","13,90","-0,20%","8,09%","745,50","1.016.570.000,00","0,00","0,00%"
BBDC3,"16,72","7,21","1,03","0,000","8,19%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,25%","138.781.000,00","172.239.000.000,00","0,00","0,34%"
ALLL11,"16,50","7,24","0,44","0,443","0,00%","0,114","1,73","1,10","-0,20","3,98","2,85","40,37%","6,25%","1,57","12,25%","6,12%","0,00","13.842.600.000,00","1,67","17,24%"
ELPL5,"30,50","7,25","0,80","0,262","0,00%","0,189","-2,86","2,23","-0,36","6,55","4,64","11,76%","3,62%","0,78","9,68%","10,99%","0,00","7.563.130.000,00","1,58","2,76%"
MTRE3,"3,70","7,28","0,39","0,371","10,99%","0,164","0,33","4,71","0,69","10,35","7,61","7,87%","7,40%","2,68","3,92%","5,36%","1.892.100,00","1.003.670.000,00","0,67","18,04%"
ALLL4,"3,32","7,29","0,45","0,446","0,00%","0,115","1,74","1,10","-0,21","3,99","2,85","40,37%","6,25%","1,57","12,25%","6,12%","0,00","13.842.600.000,00","1,67","17,24%"
BBSE3,"33,88","7,29","6,33","0,000","13,79%","2,848","0,00","6,67","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","86,84%","187.913.000,00","10.384.400.000,00","0,00","0,00%"
RPAD5,"7,10","7,31","0,59","0,000","8,04%","0,582","4,79","-328,55","5,07","-256,74","-256,74","0,00%","0,00%","13,90","-0,20%","8,09%","7.024,95","1.016.570.000,00","0,00","0,00%"
EZTC3,"13,95","7,33","0,78","2,615","7,98%","0,545","1,35","11,35","3,20","11,78","11,11","23,03%","36,54%","8,33","6,18%","10,64%","31.861.100,00","5.030.550.000,00","0,34","13,04%"
CMIG4,"12,54","7,33","1,26","0,839","5,62%","0,535","2.076,41","5,74","-1,50","8,43","6,77","14,62%","11,46%","1,00","10,19%","17,14%","204.194.000,00","28.576.400.000,00","0,68","6,43%"
MDNE3,"30,19","7,48","2,07","1,335","14,45%","0,565","1,97","6,47","-2,87","7,13","6,91","20,64%","17,83%","2,18","10,23%","27,69%","42.409.900,00","1.518.150.000,00","0,58","39,75%"
BEES4,"8,96","7,53","1,29","0,000","8,76%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,14%","46.330,70","2.411.700.000,00","0,00","10,78%"
GETT4,"2,40","7,55","1,24","1,336","0,00%","0,081","3,13","6,04","3,36","6,86","4,78","22,13%","17,66%","1,03","1,36%","16,41%","0,00","3.618.060.000,00","0,34","0,00%"
GETT3,"2,40","7,55","1,24","1,336","0,00%","0,081","3,13","6,04","3,36","6,86","4,78","22,13%","17,66%","1,03","1,36%","16,41%","0,00","3.618.060.000,00","0,34","0,00%"
LEVE3,"34,05","7,58","5,36","0,854","8,37%","1,217","9,55","5,04","-7,35","6,13","5,38","16,93%","11,26%","1,27","35,92%","70,65%","15.700.900,00","861.531.000,00","1,92","9,21%"
DPPI4,"38,90","7,62","2,28","-0,665","0,00%","1,718","3,98","87,28","4,46","73,74","73,74","-0,76%","-5,04%","3,14","3,00%","29,97%","0,00","545.227.000,00","0,06","15,14%"
SEER3,"12,71","7,63","1,22","0,738","3,76%","0,496","8,60","3,39","-1,57","4,33","2,96","21,76%","9,67%","1,26","16,03%","15,97%","14.763.500,00","1.342.850.000,00","0,53","11,36%"
OFSA3,"31,50","7,64","2,13","1,387","4,10%","1,085","2,31","6,90","6,68","7,87","6,81","20,11%","18,15%","3,55","20,23%","27,90%","365.396,00","796.836.000,00","0,61","6,07%"
CCTU4,"37,28","7,65","0,92","0,307","0,00%","0,405","2,29","14,56","-28,32","21,77","21,77","2,10%","4,00%","1,48","2,96%","12,07%","0,00","82.550.000,00","0,48","12,54%"
BEES3,"9,12","7,67","1,31","0,000","8,60%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,14%","116.260,00","2.411.700.000,00","0,00","10,78%"
NEOE3,"33,75","7,71","1,09","0,763","3,29%","0,331","4,17","3,53","-0,73","7,97","6,29","21,65%","9,95%","1,50","10,61%","14,09%","75.707.500,00","37.726.000.000,00","1,62","4,94%"
ENBR3,"24,08","7,78","1,27","0,694","0,00%","0,336","4,57","3,76","-0,86","6,29","4,87","18,47%","9,89%","1,30","10,86%","16,33%","0,00","11.009.700.000,00","1,36","1,43%"
PINE3,"13,49","7,90","2,49","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","31,56%","110.721,00","1.405.590.000,00","0,00","59,41%"
BLAU3,"10,03","7,93","1,03","1,374","6,66%","0,643","2,07","7,09","4,52","7,05","5,82","19,37%","17,43%","2,47","11,98%","12,98%","3.302.130,00","2.271.760.000,00","0,26","6,83%"
MRSA6B,"36,50","7,93","1,43","1,626","0,00%","0,499","6,34","4,31","-1,17","6,16","4,39","37,73%","20,50%","1,54","14,51%","17,97%","997,55","8.651.390.000,00","1,12","13,94%"
ISAE4,"29,51","7,94","0,92","2,066","6,27%","0,412","3,74","5,41","-1,04","9,27","9,18","38,17%","26,68%","3,76","8,02%","11,57%","90.034.000,00","21.151.500.000,00","0,76","15,51%"
WSON33,"67,00","8,07","0,98","1,067","0,00%","0,400","13,41","2,42","-0,89","5,08","5,08","44,14%","13,58%","1,26","18,36%","12,17%","0,00","2.148.530.000,00","1,21","5,23%"
CMET4,"3,91","8,10","5,38","3,068","0,00%","3,136","9,47","5,72","27,20","5,34","5,34","53,63%","43,03%","2,64","81,40%","66,40%","0,00","2.847.970.000,00","0,18","30,18%"
RDTR3,"6,30","8,11","1,37","0,000","0,00%","1,320","0,00","-1.919,75","0,00","-1.897,05","-219,41","0,00%","0,00%","0,00","0,00%","16,95%","0,00","497.092.000,00","0,00","0,00%"
CLSC4,"153,49","8,12","1,49","0,498","5,29%","0,428","6,61","5,15","-0,98","9,15","6,86","9,65%","6,13%","1,30","9,26%","18,38%","410.926,00","3.968.460.000,00","1,26","1,53%"
BMIN4,"17,55","8,15","0,60","0,000","7,98%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","7,31%","23.147,40","142.210.000,00","0,00","-19,66%"
SBFG3,"11,02","8,21","0,88","0,348","4,64%","0,283","2,02","4,72","-1,94","8,68","4,78","7,38%","4,24%","1,36","7,68%","10,72%","26.504.800,00","3.059.790.000,00","0,96","10,10%"
ROMI3,"6,85","8,24","0,51","0,501","7,88%","0,241","0,70","9,92","2,88","18,59","8,87","5,05%","6,15%","2,27","2,97%","6,24%","2.461.330,00","1.242.140.000,00","0,76","-4,41%"
MRSA5B,"38,00","8,26","1,48","1,693","0,00%","0,519","6,60","4,49","-1,22","6,33","4,51","37,73%","20,50%","1,54","14,51%","17,97%","1.292,02","8.651.390.000,00","1,12","13,94%"
PFRM3,"7,94","8,27","0,73","0,086","8,11%","0,158","0,97","2,58","-9,39","4,25","2,79","3,33%","1,10%","1,29","11,48%","8,84%","2.103.300,00","1.345.730.000,00","0,65","15,27%"
BBDC4,"19,32","8,34","1,19","0,000","7,79%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","14,25%","688.180.000,00","172.239.000.000,00","0,00","0,34%"
VITT3,"3,44","8,38","0,86","0,680","7,60%","0,599","1,55","9,16","1,92","11,34","8,02","7,42%","8,07%","2,65","7,01%","10,32%","1.251.130,00","644.605.000,00","0,28","0,24%"
HAGA4,"1,51","8,38","-0,37","0,631","0,00%","0,256","0,47","-8,80","-0,32","5,56","10,70","-7,17%","7,53%","2,60","-10,68%","-4,36%","34.459,90","-49.168.100,00","-0,42","-6,88%"
CIEL3,"5,83","8,39","1,43","2,607","0,00%","0,130","1,38","34,01","11,79","36,84","17,44","7,67%","31,08%","1,11","2,75%","17,00%","0,00","11.107.800.000,00","0,91","1,78%"
BRML3,"8,26","8,39","0,55","4,120","0,00%","0,329","4,79","5,98","-1,07","7,75","7,16","68,90%","53,26%","4,05","5,93%","6,55%","0,00","12.306.700.000,00","0,28","11,39%"
PINE4,"14,37","8,41","2,66","0,000","5,02%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","31,56%","18.495.300,00","1.405.590.000,00","0,00","59,41%"
LIGT3,"4,82","8,43","0,33","0,120","0,00%","0,070","-1,51","1,10","-0,12","5,98","3,83","10,88%","1,42%","0,82","7,68%","3,91%","6.681.800,00","5.448.690.000,00","1,78","1,30%"
EKTR4,"39,00","8,44","3,32","0,738","13,31%","0,515","4,50","3,27","-1,00","6,70","5,59","22,58%","8,74%","1,53","18,90%","39,34%","34.419,00","2.275.000.000,00","4,18","4,26%"
AGIN3,"5,29","8,46","1,23","1,816","0,00%","0,565","1,29","10,92","3,55","14,68","14,68","16,63%","21,83%","2,72","5,59%","14,56%","0,00","1.028.210.000,00","0,55","44,17%"
DIRR3,"12,85","8,47","3,49","1,540","17,25%","0,506","1,48","6,31","-1,40","6,94","6,45","24,40%","22,56%","3,78","9,77%","41,18%","114.185.000,00","1.916.620.000,00","1,49","24,92%"
AELP3,"1,93","8,49","-200,57","-0,062","0,00%","5,216","0,00","-12,58","0,00","-11,94","-11,98","0,49%","-0,73%","0,00","0,00%","-2.363,83%","0,00","-904.000,00","0,00","1,18%"
AESL4,"10.081,90","8,49","1,76","0,919","0,00%","0,523","-48,76","4,21","-1,03","7,39","7,39","21,81%","10,82%","0,95","13,34%","20,72%","0,00","6.447.780.000,00","1,38","7,98%"
AESL3,"10.081,90","8,49","1,76","0,919","0,00%","0,523","-48,76","4,21","-1,03","7,39","7,39","21,81%","10,82%","0,95","13,34%","20,72%","0,00","6.447.780.000,00","1,38","7,98%"
BGIP3,"59,98","8,53","1,42","0,000","5,53%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,64%","31.108,00","910.539.000,00","0,00","8,80%"
CPSL3,"38,02","8,56","3,49","0,787","0,00%","2,043","7,39","5,79","11,84","5,48","5,48","13,59%","9,20%","1,89","57,15%","40,82%","0,00","1.634.730.000,00","0,17","16,21%"
BRFS3,"17,95","8,59","2,10","0,439","12,28%","0,419","3,16","4,29","-1,48","6,47","4,21","10,25%","5,05%","1,36","17,44%","24,47%","0,00","13.601.200.000,00","2,20","7,52%"
BPAR3,"182,07","8,63","0,77","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,96%","0,00","2.242.660.000,00","0,00","9,64%"
TGMA3,"31,90","8,67","2,41","0,946","12,04%","1,575","6,52","7,04","13,82","7,33","6,64","13,45%","10,92%","2,10","25,78%","27,86%","17.296.600,00","872.233.000,00","0,23","22,23%"
ALLL3,"3,97","8,71","0,53","0,533","0,00%","0,137","2,09","1,32","-0,25","4,20","3,01","40,37%","6,25%","1,57","12,25%","6,12%","0,00","13.842.600.000,00","1,67","17,24%"
TMGC12,"550,00","8,71","1,12","0,800","0,00%","0,770","4,66","12,27","8,22","10,94","10,94","6,52%","9,18%","1,69","8,73%","12,83%","0,00","1.167.010.000,00","0,05","10,49%"
ACES4,"94,73","8,74","2,27","1,683","0,00%","1,430","6,37","7,16","20,65","6,50","6,50","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%"
WLMM4,"20,84","8,78","0,97","0,252","8,39%","0,479","1,75","5,36","5,68","7,16","6,81","4,70%","2,88%","1,85","11,02%","11,11%","29.878,20","778.663.000,00","0,58","15,30%"
ACES3,"95,27","8,79","2,28","1,693","0,00%","1,438","6,40","7,20","20,77","6,54","6,54","23,52%","19,27%","2,05","26,90%","25,95%","0,00","3.105.800.000,00","0,09","13,34%"
RANI3,"7,80","8,87","1,22","1,075","6,73%","0,467","2,59","4,40","-1,64","7,05","4,66","24,41%","12,12%","2,19","13,76%","13,78%","8.063.350,00","1.471.350.000,00","1,25","0,07%"
ALUP4,"10,90","8,87","1,18","2,451","3,30%","0,336","2,93","3,79","-0,81","7,09","6,65","64,71%","39,41%","2,45","9,92%","13,26%","148.674,00","9.163.890.000,00","1,38","-3,01%"
CZRS4,"2,49","8,89","0,30","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","3,34%","0,00","1.145.670.000,00","0,00","14,44%"
AFLU5,"5,03","8,93","2,14","2,911","0,00%","1,875","9,63","8,32","11,92","7,38","7,05","34,98%","32,59%","3,27","31,18%","23,93%","0,00","44.270.000,00","0,00","8,61%"
KEPL3,"7,78","8,95","1,81","0,938","5,56%","0,925","2,90","8,78","5,61","8,89","7,18","10,68%","10,49%","1,96","14,29%","20,18%","23.178.800,00","774.231.000,00","0,43","2,72%"
VIVO3,"65,79","8,99","2,69","1,366","0,00%","1,175","-29,21","6,21","-4,74","6,65","6,65","22,01%","15,20%","0,89","23,92%","29,88%","0,00","9.816.290.000,00","0,35","13,06%"
CNFB4,"5,99","9,01","1,57","1,511","0,00%","0,872","3,47","8,27","53,95","10,05","7,85","18,27%","16,77%","2,20","12,01%","17,39%","0,00","1.552.470.000,00","0,47","-10,61%"
MRSA3B,"41,79","9,08","1,63","1,862","0,00%","0,571","7,26","4,93","-1,34","6,78","4,83","37,73%","20,50%","1,54","14,51%","17,97%","3.283,36","8.651.390.000,00","1,12","13,94%"
TAEE3,"13,98","9,15","1,90","3,125","7,78%","0,642","11,16","6,34","-1,28","10,83","10,54","49,29%","34,17%","1,57","10,61%","20,76%","1.289.790,00","7.608.980.000,00","1,44","9,69%"
AFLU3,"5,15","9,15","2,19","2,981","0,00%","1,919","9,86","8,52","12,21","7,57","7,24","34,98%","32,59%","3,27","31,18%","23,93%","0,00","44.270.000,00","0,00","8,61%"
COGN3,"2,78","9,17","0,43","0,818","4,27%","0,238","3,07","2,80","-0,96","5,43","4,07","29,17%","8,35%","1,66","9,50%","4,65%","93.021.100,00","13.453.700.000,00","0,49","10,47%"
TAEE11,"42,52","9,27","1,93","3,168","7,67%","0,651","11,32","6,43","-1,29","10,92","10,62","49,29%","34,17%","1,57","10,61%","20,76%","92.024.600,00","7.608.980.000,00","1,44","9,69%"
TAEE4,"14,28","9,34","1,94","3,192","7,62%","0,656","11,40","6,48","-1,30","10,97","10,67","49,29%","34,17%","1,57","10,61%","20,76%","2.810.960,00","7.608.980.000,00","1,44","9,69%"
SYNE3,"3,96","9,35","0,90","1,845","65,18%","0,265","9,45","5,11","-0,93","7,08","5,25","36,14%","22,85%","1,30","5,83%","9,60%","2.365.860,00","673.617.000,00","0,69","-24,81%"
ALUP11,"34,50","9,36","1,24","2,586","3,13%","0,354","3,09","4,00","-0,85","7,29","6,84","64,71%","39,41%","2,45","9,92%","13,26%","34.823.400,00","9.163.890.000,00","1,38","-3,01%"
ISAE3,"34,80","9,37","1,08","2,436","5,32%","0,486","4,41","6,38","-1,23","10,24","10,14","38,17%","26,68%","3,76","8,02%","11,57%","90.049,60","21.151.500.000,00","0,76","15,51%"
EQPA6,"6,59","9,38","2,81","1,191","2,04%","0,774","4,91","5,23","-1,98","7,20","5,90","22,75%","12,70%","1,89","18,84%","29,98%","0,00","5.179.040.000,00","1,58","11,20%"
LREN3,"13,60","9,39","1,31","0,865","6,58%","0,698","2,87","3,78","5,56","3,36","2,48","22,90%","9,21%","1,69","22,79%","13,94%","246.523.000,00","10.456.300.000,00","0,04","9,33%"
ITSA3,"13,83","9,41","1,75","18,801","8,87%","1,395","19,97","585,23","-23,94","603,59","104,82","3,21%","200,63%","3,18","0,25%","18,58%","2.746.450,00","88.755.000.000,00","0,12","-0,11%"
HYPE3,"22,53","9,43","1,12","1,837","4,67%","0,610","4,84","6,44","-3,07","8,97","7,93","28,52%","19,43%","1,95","10,63%","11,91%","77.544.200,00","14.122.900.000,00","0,60","5,10%"
BMEB3,"57,50","9,44","3,11","0,000","2,51%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","32,90%","531.680,00","2.290.040.000,00","0,00","23,33%"
ITSA4,"13,92","9,47","1,76","18,923","8,81%","1,404","20,10","589,04","-24,09","607,40","105,48","3,21%","200,63%","3,18","0,25%","18,58%","432.157.000,00","88.755.000.000,00","0,12","-0,11%"
MRSL4,"3,05","9,48","0,91","0,816","0,00%","0,609","2,19","15,08","5,80","16,51","8,83","5,41%","8,69%","2,78","4,44%","9,63%","0,00","375.151.000,00","0,16","7,10%"
VALE5,"33,36","9,49","0,77","0,689","0,00%","0,324","8,75","2,06","-0,85","3,05","2,45","33,44%","6,44%","1,24","17,92%","8,16%","0,00","191.216.000.000,00","0,51","-5,32%"
CURY3,"30,06","9,49","6,70","1,715","12,23%","1,638","6,31","6,56","-11,86","6,33","6,18","26,16%","20,02%","1,84","39,40%","70,60%","135.420.000,00","1.381.710.000,00","1,07","32,58%"
PSSA3,"49,79","9,52","2,05","0,787","5,99%","0,576","4,78","0,96","-4,82","0,59","0,58","82,26%","8,38%","1,25","77,44%","21,48%","91.254.200,00","15.741.200.000,00","0,00","16,78%"
MOTV3,"16,00","9,61","1,98","1,735","2,42%","0,436","3,23","4,63","-1,02","9,04","7,36","37,48%","19,31%","1,64","10,91%","20,58%","165.031.000,00","16.336.000.000,00","2,46","5,71%"
